,0
0,Idaho
1,Rhode Island
2,Texas
3,Illinois
4,New Hampshire
5,Arizona
6,California
7,Tennessee
8,Washington
9,Wisconsin
10,Louisiana
11,Massachusetts
12,Minnesota
13,Colorado
14,Montana
15,Hawaii
16,Mississippi
17,North Dakota
18,New York
19,Wyoming
20,Vermont
21,Pennsylvania
22,Oklahoma
23,Connecticut
24,Utah
25,New Jersey
26,Kansas
27,Kentucky
28,Nevada
29,Florida
30,Oregon
31,South Carolina
32,Delaware
33,Michigan
34,Alabama
35,South Dakota
36,North Carolina
37,West Virginia
38,Nebraska
39,Indiana
40,Maine
41,Missouri
42,New Mexico
43,Arkansas
44,Georgia
45,Iowa
46,Virginia
47,Maryland
48,Ohio
